username,review,rating,date,app,cleaned_review,processed_review,sentiment,rating_sentiment
Shubham Mahaveer magadum,best food services and way more cheaper than swiggy! swiggy just gives you prices which are almost 25 ℅ more than zomoto! as a costumer one needs less price plus service and zomoto is best in regards to both of this I take this back as zomoto ruined my special day by now delivering the food which I ordered,1,2026-03-12 02:15:03,Zomato,best food services and way more cheaper than swiggy swiggy just gives you prices which are almost   more than zomoto as a costumer one needs less price plus service and zomoto is best in regards to both of this i take this back as zomoto ruined my special day by now delivering the food which i ordered,best food service way cheaper swiggy swiggy give price almost zomoto costumer one need less price plus service zomoto best regard take back zomoto ruined special day delivering food ordered,Positive,Negative
Sunita Gaud,cash on delivery All so accept,4,2026-03-12 02:11:20,Zomato,cash on delivery all so accept,cash delivery accept,Positive,Positive
Kushal Saragadam,nice,5,2026-03-12 02:10:47,Zomato,nice,nice,Positive,Positive
Ayush,this app is very amazing and useful but the delivery price is very much but all a side app is very good and customer service is also very fast and reliable,5,2026-03-12 02:10:43,Zomato,this app is very amazing and useful but the delivery price is very much but all a side app is very good and customer service is also very fast and reliable,app amazing useful delivery price much side app good customer service also fast reliable,Positive,Positive
Pruthviraj Pawara,"This app is no less, it is absolutely rubbish, everything is expensive, it shows low price and when you order it charges a lot, Swiggy is the number one app, Swiggy is Goat.",1,2026-03-12 02:08:11,Zomato,this app is no less it is absolutely rubbish everything is expensive it shows low price and when you order it charges a lot swiggy is the number one app swiggy is goat,app less absolutely rubbish everything expensive show low price order charge lot swiggy number one app swiggy goat,Negative,Negative
Digvijay Asabe,worst food delivery app very high prices and stale food,1,2026-03-12 02:06:18,Zomato,worst food delivery app very high prices and stale food,worst food delivery app high price stale food,Negative,Negative
nitin chowdhary,its more then 1hrs i have ordered..still waiting..worst service zomato n restaurant too,1,2026-03-12 02:03:41,Zomato,its more then hrs i have orderedstill waitingworst service zomato n restaurant too,hr orderedstill waitingworst service zomato restaurant,Neutral,Negative
Shivraj Devkatte,ok,5,2026-03-12 02:03:25,Zomato,ok,ok,Neutral,Positive
Apeksha singh,it's disgusting I have ordered burger but the delivery was not moving at all it's has delayed my order made to wait and they didn't even made to connect with agent tooo so disgusting,1,2026-03-12 02:00:58,Zomato,its disgusting i have ordered burger but the delivery was not moving at all its has delayed my order made to wait and they didnt even made to connect with agent tooo so disgusting,disgusting ordered burger delivery moving delayed order made wait didnt even made connect agent tooo disgusting,Negative,Negative
Aryan Soni,good app,5,2026-03-12 01:57:51,Zomato,good app,good app,Positive,Positive
Rahul Kumar,good,2,2026-03-12 01:57:07,Zomato,good,good,Positive,Negative
Akshay Jangra,nice working app,5,2026-03-12 01:55:22,Zomato,nice working app,nice working app,Positive,Positive
Md Hasib,good,5,2026-03-12 01:54:51,Zomato,good,good,Positive,Positive
Jayaseelan G,good,4,2026-03-12 01:52:33,Zomato,good,good,Positive,Positive
Rajib Sarkar,fast comings,5,2026-03-12 01:51:41,Zomato,fast comings,fast coming,Neutral,Positive
Saziuddin Saziuddin,very bad service,1,2026-03-12 01:51:06,Zomato,very bad service,bad service,Negative,Negative
Sagar Kande,ok,5,2026-03-12 01:50:02,Zomato,ok,ok,Neutral,Positive
Singh Gurpreet,it's gud 👍,4,2026-03-12 01:49:46,Zomato,its gud,gud,Neutral,Positive
Vishal Roy,nice to watch that your company accept cash on delivery,5,2026-03-12 01:49:40,Zomato,nice to watch that your company accept cash on delivery,nice watch company accept cash delivery,Positive,Positive
Bharat,best,5,2026-03-12 01:47:21,Zomato,best,best,Positive,Positive
Pandit sachin “Pandit 5172” Pateriya,very very nice,5,2026-03-12 01:45:19,Zomato,very very nice,nice,Positive,Positive
Bablu Kumar,V good nks hosptal,5,2026-03-12 01:44:38,Zomato,v good nks hosptal,good nks hosptal,Positive,Positive
Ajeem Gour,good,5,2026-03-12 01:44:33,Zomato,good,good,Positive,Positive
Chaitanya Lamani,good,5,2026-03-12 01:43:30,Zomato,good,good,Positive,Positive
Marapally Naveenkumar,super,5,2026-03-12 01:43:01,Zomato,super,super,Positive,Positive
Sima Uvesh,bahut si achha he,5,2026-03-12 01:42:13,Zomato,bahut si achha he,bahut achha,Neutral,Positive
Singh Shubham Gupta,gud,4,2026-03-12 01:41:47,Zomato,gud,gud,Neutral,Positive
ravi patil,khane ke name pr loot mar krte hea behn ke lode,1,2026-03-12 01:41:39,Zomato,khane ke name pr loot mar krte hea behn ke lode,khane name loot mar krte hea behn lode,Neutral,Negative
Golu Rawat,good,5,2026-03-12 01:40:54,Zomato,good,good,Positive,Positive
Veni Akula,good,4,2026-03-12 01:40:06,Zomato,good,good,Positive,Positive
"Mo, shahid Khan",good,5,2026-03-12 01:37:37,Zomato,good,good,Positive,Positive
Akshaya Biswal,good,5,2026-03-12 01:37:10,Zomato,good,good,Positive,Positive
Trilok Singh 070,they deliver wrong burger 😔😔,1,2026-03-12 01:35:54,Zomato,they deliver wrong burger,deliver wrong burger,Negative,Negative
Aarif Mansuri Daikin,good 👍,5,2026-03-12 01:35:50,Zomato,good,good,Positive,Positive
Pankaj Divedi,good,5,2026-03-12 01:35:19,Zomato,good,good,Positive,Positive
Devbarat Kumar,very good,5,2026-03-12 01:34:32,Zomato,very good,good,Positive,Positive
Faizan Saif,ok,5,2026-03-12 01:34:27,Zomato,ok,ok,Neutral,Positive
manav sudhan,goid,5,2026-03-12 01:29:38,Zomato,goid,goid,Neutral,Positive
Rahul Isharwal,good 😊,5,2026-03-12 01:25:49,Zomato,good,good,Positive,Positive
Swapnil Wagh,best,5,2026-03-12 01:25:34,Zomato,best,best,Positive,Positive
ramavathanjilal ramavathanjilal,supper,5,2026-03-12 01:23:42,Zomato,supper,supper,Neutral,Positive
Mou Priya,wow,5,2026-03-12 01:22:52,Zomato,wow,wow,Positive,Positive
Pravin Idhole,call kara nighta veles,5,2026-03-12 01:21:57,Zomato,call kara nighta veles,call kara nighta veles,Neutral,Positive
Raihan Sk,it's awesome 👍,5,2026-03-12 01:20:48,Zomato,its awesome,awesome,Positive,Positive
Vinod Kumar,ple give fresh materials,1,2026-03-12 01:20:43,Zomato,ple give fresh materials,ple give fresh material,Positive,Negative
Tejas Karkera,"Charging almost 50% extra on every single item delivery, worst thing ever",1,2026-03-12 01:17:52,Zomato,charging almost  extra on every single item delivery worst thing ever,charging almost extra every single item delivery worst thing ever,Negative,Negative
Dipak Waghade,good,1,2026-03-12 01:16:03,Zomato,good,good,Positive,Negative
Gaurav Kohli,best and fast service ☺️🙈,5,2026-03-12 01:14:28,Zomato,best and fast service,best fast service,Positive,Positive
Ravi Suryawanshi,Good Service,5,2026-03-12 01:13:53,Zomato,good service,good service,Positive,Positive
Suthar Ajay,"how to make, the no delevery night 12 baje Oder accept to cancel Oder 😡😡",1,2026-03-12 01:13:49,Zomato,how to make the no delevery night  baje oder accept to cancel oder,make delevery night baje oder accept cancel oder,Positive,Negative
Shirish Kanaujia,"This is the worst app. It has no value for customers. There is no solution provided to customers' problems, no one replies, there is no customer care, nothing at all. This is the worst app. Please ignore it as much as possible. This is an app where your food gets delivered somewhere else, and even their delivery partner accepts that he delivered it to the wrong place. He says it wasn’t his mistake because there was no order in my name, and they claim the order was placed in someone else’s name.",1,2026-03-12 01:13:47,Zomato,this is the worst app it has no value for customers there is no solution provided to customers problems no one replies there is no customer care nothing at all this is the worst app please ignore it as much as possible this is an app where your food gets delivered somewhere else and even their delivery partner accepts that he delivered it to the wrong place he says it wasnt his mistake because there was no order in my name and they claim the order was placed in someone elses name,worst app value customer solution provided customer problem one reply customer care nothing worst app please ignore much possible app food get delivered somewhere else even delivery partner accepts delivered wrong place say wasnt mistake order name claim order placed someone elses name,Neutral,Negative
Upendra Gohel,nice 👍,5,2026-03-12 01:12:39,Zomato,nice,nice,Positive,Positive
Pradeep Kumar Behera,very nice,5,2026-03-12 01:12:14,Zomato,very nice,nice,Positive,Positive
Ranjeet Kumar,ehheehehehheehheeh,5,2026-03-12 01:08:33,Zomato,ehheehehehheehheeh,ehheehehehheehheeh,Neutral,Positive
Jitendra Mohite,good,3,2026-03-12 01:04:46,Zomato,good,good,Positive,Neutral
Intzar Gaming,"Ist time order , after delivery review",5,2026-03-12 01:04:37,Zomato,ist time order  after delivery review,ist time order delivery review,Neutral,Positive
Fnb Kemberly,please dhyan rakhna hmara,5,2026-03-12 01:04:13,Zomato,please dhyan rakhna hmara,please dhyan rakhna hmara,Positive,Positive
Eswar Sandy,awesome,4,2026-03-12 01:02:55,Zomato,awesome,awesome,Positive,Positive
Akbar Baig,I need food 3.30am,3,2026-03-12 01:02:46,Zomato,i need food am,need food,Neutral,Neutral
Gurpartap Singh Gurpartap Singh,gooodod,5,2026-03-12 01:01:53,Zomato,gooodod,gooodod,Neutral,Positive
Divyanshi Yadav,good😊,4,2026-03-12 01:01:23,Zomato,good,good,Positive,Positive
Deepak Jaiswal,best,5,2026-03-12 01:00:33,Zomato,best,best,Positive,Positive
Subhash Majumdar,good,5,2026-03-12 00:59:12,Zomato,good,good,Positive,Positive
ashu fugi,awesome test,5,2026-03-12 00:58:35,Zomato,awesome test,awesome test,Positive,Positive
Anurag Tiwari,kya badtameezi h kitne baar krwaoge review,5,2026-03-12 00:57:50,Zomato,kya badtameezi h kitne baar krwaoge review,kya badtameezi kitne baar krwaoge review,Neutral,Positive
HASEEB KHAN,good,5,2026-03-12 00:56:46,Zomato,good,good,Positive,Positive
MYSTIC PERSON,Please bring back detailed review section where users can see the reviews and photos... It was very helpful,5,2026-03-12 00:54:58,Zomato,please bring back detailed review section where users can see the reviews and photos it was very helpful,please bring back detailed review section user see review photo helpful,Positive,Positive
Reem Marium,great 👍,5,2026-03-12 00:54:12,Zomato,great,great,Positive,Positive
Javed Khan,best service,1,2026-03-12 00:54:07,Zomato,best service,best service,Positive,Negative
Ankursinghraja Ankursinghraja,karyamana agarah road,1,2026-03-12 00:53:57,Zomato,karyamana agarah road,karyamana agarah road,Neutral,Negative
Neetu Punia,fine,3,2026-03-12 00:53:25,Zomato,fine,fine,Positive,Neutral
Vemula Shiva,amazing,5,2026-03-12 00:52:01,Zomato,amazing,amazing,Positive,Positive
Dhanush Dd,good,3,2026-03-12 00:49:40,Zomato,good,good,Positive,Neutral
Nawab Khan,hello sir,5,2026-03-12 00:47:04,Zomato,hello sir,hello sir,Neutral,Positive
Santi Gouthami,"this is the worst service I have experienced.the delivery boy did not deliver my order, but the app showed it is delivered",1,2026-03-12 00:45:46,Zomato,this is the worst service i have experiencedthe delivery boy did not deliver my order but the app showed it is delivered,worst service experiencedthe delivery boy deliver order app showed delivered,Negative,Negative
Md Murad Khan,Good service,5,2026-03-12 00:45:34,Zomato,good service,good service,Positive,Positive
Savan Singh,good,4,2026-03-12 00:45:15,Zomato,good,good,Positive,Positive
olly Oggy,zomato is the only food app i can rely on when I have night cravings ❤️😭,5,2026-03-12 00:44:51,Zomato,zomato is the only food app i can rely on when i have night cravings,zomato food app rely night craving,Neutral,Positive
Prakash Prakash,good,5,2026-03-12 00:44:11,Zomato,good,good,Positive,Positive
Bheru Lal Dangi dangi,this nice aap toh for food 😋,5,2026-03-12 00:44:08,Zomato,this nice aap toh for food,nice aap toh food,Positive,Positive
Ajmal Aju,good,4,2026-03-12 00:43:09,Zomato,good,good,Positive,Positive
Kumar Pawan,now this tag hotel people are not giving good food at high rate...even they are taking more charges but the quality and quantity both are very very less and test are not good ...,1,2026-03-12 00:40:15,Zomato,now this tag hotel people are not giving good food at high rateeven they are taking more charges but the quality and quantity both are very very less and test are not good,tag hotel people giving good food high rateeven taking charge quality quantity less test good,Positive,Negative
Sunny Beniwal,Very good work I believe,5,2026-03-12 00:39:19,Zomato,very good work i believe,good work believe,Positive,Positive
Mohammed Sufiyan,nothing interesting,5,2026-03-12 00:38:02,Zomato,nothing interesting,nothing interesting,Negative,Positive
Shyam Sahu,good,5,2026-03-12 00:37:25,Zomato,good,good,Positive,Positive
Milan Kalita,good,5,2026-03-12 00:37:09,Zomato,good,good,Positive,Positive
Krishna,love the app honestly amazing service and customer service,5,2026-03-12 00:36:41,Zomato,love the app honestly amazing service and customer service,love app honestly amazing service customer service,Positive,Positive
Myra Khwaja,easy n safe,5,2026-03-12 00:36:40,Zomato,easy n safe,easy safe,Positive,Positive
abid shaikh,cake received damage please refund money ... I ordered a birthday cake and cake was totally damage ... please refund my money,1,2026-03-12 00:35:51,Zomato,cake received damage please refund money  i ordered a birthday cake and cake was totally damage  please refund my money,cake received damage please refund money ordered birthday cake cake totally damage please refund money,Negative,Negative
Krishna Yadav,good,5,2026-03-12 00:34:57,Zomato,good,good,Positive,Positive
Arshiya Fatima,good app,5,2026-03-12 00:33:59,Zomato,good app,good app,Positive,Positive
Parfect Matching,good,5,2026-03-12 00:33:51,Zomato,good,good,Positive,Positive
Lakshay Aggarwal,hare ka shara zomato hamara🤤,5,2026-03-12 00:30:53,Zomato,hare ka shara zomato hamara,hare shara zomato hamara,Neutral,Positive
Ramkumar RAJENDRAN,good 👍,4,2026-03-12 00:30:30,Zomato,good,good,Positive,Positive
Srinu Vasulu,fake app bro. not responding any orders ima ordering one biryani that birayani full spelling not responding my frds also same issue occured u want any proofs I will send that numbers u also verify,1,2026-03-12 00:30:02,Zomato,fake app bro not responding any orders ima ordering one biryani that birayani full spelling not responding my frds also same issue occured u want any proofs i will send that numbers u also verify,fake app bro responding order ima ordering one biryani birayani full spelling responding frds also issue occured want proof send number also verify,Negative,Negative
Sagar Ramola,good service,5,2026-03-12 00:29:57,Zomato,good service,good service,Positive,Positive
Sai,good,5,2026-03-12 00:28:59,Zomato,good,good,Positive,Positive
Sivaraman MS,it get delaying food firstfall give the food very fast da,5,2026-03-12 00:28:39,Zomato,it get delaying food firstfall give the food very fast da,get delaying food firstfall give food fast,Neutral,Positive
Sagar Chauhan,good,5,2026-03-12 00:27:22,Zomato,good,good,Positive,Positive
Priyanshu Kumar,mughe office dena band kyo kar diya,5,2026-03-12 00:27:05,Zomato,mughe office dena band kyo kar diya,mughe office dena band kyo kar diya,Neutral,Positive
Dharmendra Partap singh,avreg,3,2026-03-12 00:25:38,Zomato,avreg,avreg,Neutral,Neutral
Ajin Purushothaman,never deliver on time...the delivery time keep updating multiple times...totally disappointed with the service,1,2026-03-12 00:24:13,Zomato,never deliver on timethe delivery time keep updating multiple timestotally disappointed with the service,never deliver timethe delivery time keep updating multiple timestotally disappointed service,Negative,Negative
Shaikh Safa,nice,5,2026-03-12 00:24:12,Zomato,nice,nice,Positive,Positive
Mohit yadav,Good delivery,5,2026-03-12 00:22:39,Zomato,good delivery,good delivery,Positive,Positive
Radhika Rathour,good service,5,2026-03-12 00:22:09,Zomato,good service,good service,Positive,Positive
Kota Chandhu,good,2,2026-03-12 00:20:29,Zomato,good,good,Positive,Negative
Annie George,goood appp no issue,5,2026-03-12 00:17:53,Zomato,goood appp no issue,goood appp issue,Neutral,Positive
Anmol annu7annu,good,5,2026-03-12 00:17:11,Zomato,good,good,Positive,Positive
keshav verma,this is the Worst application ever,1,2026-03-12 00:16:06,Zomato,this is the worst application ever,worst application ever,Negative,Negative
Cine Star,very nice,5,2026-03-12 00:15:15,Zomato,very nice,nice,Positive,Positive
Vishal Kumar,"One of the worst experiences I’ve had with Zomato.I placed an order around 10 PM with a promised delivery time of 25 minutes.After that, the app kept showing ""Arriving in 2 minutes"" for almost two hours until 11:58 PM. Finally, I was asked to cancel the order.This is completely unacceptable and shows no concern for customer experience.This is not the first time this has happened.Because of such repeated issues, I will never use Zomato again and will strongly recommend others to avoid it as well.",1,2026-03-12 00:15:05,Zomato,one of the worst experiences ive had with zomatoi placed an order around  pm with a promised delivery time of  minutesafter that the app kept showing arriving in  minutes for almost two hours until  pm finally i was asked to cancel the orderthis is completely unacceptable and shows no concern for customer experiencethis is not the first time this has happenedbecause of such repeated issues i will never use zomato again and will strongly recommend others to avoid it as well,one worst experience ive zomatoi placed order around promised delivery time minutesafter app kept showing arriving minute almost two hour finally asked cancel orderthis completely unacceptable show concern customer experiencethis first time happenedbecause repeated issue never use zomato strongly recommend others avoid well,Negative,Negative
Srinivas Durla,superb,5,2026-03-12 00:14:20,Zomato,superb,superb,Positive,Positive
Sheetal Pathak,fraud app... money refund nhi hoti hai n contact number b nhi h inka ...not satisfied 😞😞😞,1,2026-03-12 00:14:01,Zomato,fraud app money refund nhi hoti hai n contact number b nhi h inka not satisfied,fraud app money refund nhi hoti hai contact number nhi inka satisfied,Negative,Negative
Jogii Rathore,deliver fas,5,2026-03-12 00:12:11,Zomato,deliver fas,deliver fa,Neutral,Positive
Sachin Kumar,good experience,5,2026-03-12 00:12:06,Zomato,good experience,good experience,Positive,Positive
Vaibhav Chandwalker,good app,5,2026-03-12 00:11:52,Zomato,good app,good app,Positive,Positive
pawan sonkar,Nice ♥️,5,2026-03-12 00:09:54,Zomato,nice,nice,Positive,Positive
PRIYANKA,I don't like your grouped order system,1,2026-03-12 00:09:45,Zomato,i dont like your grouped order system,dont like grouped order system,Negative,Negative
Abdul Ameen,good,1,2026-03-12 00:09:29,Zomato,good,good,Positive,Negative
Akash Yadav,restaurant delivered spoiled food and I get no from anyone,1,2026-03-12 00:08:46,Zomato,restaurant delivered spoiled food and i get no from anyone,restaurant delivered spoiled food get anyone,Neutral,Negative
Kuldeep Rajput,good,3,2026-03-12 00:08:00,Zomato,good,good,Positive,Neutral
Deepak Sharma,good service,5,2026-03-12 00:05:17,Zomato,good service,good service,Positive,Positive
Ayarsh raj,worst service ever in my life,1,2026-03-12 00:04:26,Zomato,worst service ever in my life,worst service ever life,Negative,Negative
narendra veer,nice service,5,2026-03-12 00:04:20,Zomato,nice service,nice service,Positive,Positive
Rohit Khare,ossm,5,2026-03-12 00:03:56,Zomato,ossm,ossm,Neutral,Positive
Brahma chary Moroju,exlent,5,2026-03-12 00:03:36,Zomato,exlent,exlent,Neutral,Positive
nabeel meeran,very good experience,5,2026-03-12 00:03:00,Zomato,very good experience,good experience,Positive,Positive
Advocate Kaushik Manuj,"i can rely on u any time from midnight to even ordering pizza @ 5 am...good going,,👍👍👍 rest i want to say ki cash on delivery walo k liye bhi acche offers nikala karo, Thank you.",5,2026-03-12 00:00:08,Zomato,i can rely on u any time from midnight to even ordering pizza   amgood going rest i want to say ki cash on delivery walo k liye bhi acche offers nikala karo thank you,rely time midnight even ordering pizza amgood going rest want say cash delivery walo liye bhi acche offer nikala karo thank,Positive,Positive
Personal Sushma,nice,4,2026-03-11 23:58:45,Zomato,nice,nice,Positive,Positive
Shank Mu,price is high,4,2026-03-11 23:58:35,Zomato,price is high,price high,Neutral,Positive
Prashant Suratwala,"😊 ""Vibes are immaculate, food's on point! 😋 Loving the chill vibe and delish brews 🍰☕️""",5,2026-03-11 23:57:21,Zomato,vibes are immaculate foods on point  loving the chill vibe and delish brews,vibe immaculate food point loving chill vibe delish brew,Positive,Positive
Khushu Negi,good experience,3,2026-03-11 23:57:14,Zomato,good experience,good experience,Positive,Neutral
karan Kumar,nice,5,2026-03-11 23:57:00,Zomato,nice,nice,Positive,Positive
Rolley Fernandes,ok,5,2026-03-11 23:56:24,Zomato,ok,ok,Neutral,Positive
binit jha,mst hai,5,2026-03-11 23:56:10,Zomato,mst hai,mst hai,Neutral,Positive
naruns rajput,good,5,2026-03-11 23:56:04,Zomato,good,good,Positive,Positive
HARSHADA DIXIT,good,5,2026-03-11 23:55:22,Zomato,good,good,Positive,Positive
Jass Bhatti,late oder received,1,2026-03-11 23:55:20,Zomato,late oder received,late oder received,Neutral,Negative
jp faliya,plz don't add jelly and add more malai,5,2026-03-11 23:54:34,Zomato,plz dont add jelly and add more malai,plz dont add jelly add malai,Positive,Positive
Vishnu Koppera,good,5,2026-03-11 23:53:37,Zomato,good,good,Positive,Positive
Pradeep Singh,goodd andd happyy,3,2026-03-11 23:53:01,Zomato,goodd andd happyy,goodd andd happyy,Neutral,Neutral
Irfan Alam,DJ kya,5,2026-03-11 23:52:58,Zomato,dj kya,kya,Neutral,Positive
MOHAMMAD HUSSAIN QUADRI BARKATI,👍 nice,5,2026-03-11 23:52:18,Zomato,nice,nice,Positive,Positive
Abhishek Soni,overall good experince,5,2026-03-11 23:51:44,Zomato,overall good experince,overall good experince,Positive,Positive
Aakanksha S,Pathetic app. Greedy stealers. Switching to Swiggy,1,2026-03-11 23:50:31,Zomato,pathetic app greedy stealers switching to swiggy,pathetic app greedy stealer switching swiggy,Negative,Negative
A to Z Product Store,it's a good food platform,5,2026-03-11 23:49:20,Zomato,its a good food platform,good food platform,Positive,Positive
Lokanath Palei,"Zomato is currently scamming everyone, as it happened with me, I had ordered a food item and after the order was placed, the delivery boy did not pick up the item and the timing was also not changed, so I cancelled the order due to ISI reason but I did not get my refund. 🤬🤬🤬",1,2026-03-11 23:47:01,Zomato,zomato is currently scamming everyone as it happened with me i had ordered a food item and after the order was placed the delivery boy did not pick up the item and the timing was also not changed so i cancelled the order due to isi reason but i did not get my refund,zomato currently scamming everyone happened ordered food item order placed delivery boy pick item timing also changed cancelled order due isi reason get refund,Negative,Negative
Apsara azmi Az,this is the best app you can use to order something and it gives you more orders 👍👍,5,2026-03-11 23:44:54,Zomato,this is the best app you can use to order something and it gives you more orders,best app use order something give order,Positive,Positive
Kama Rm,good,5,2026-03-11 23:44:38,Zomato,good,good,Positive,Positive
Sana Sana,excellent,5,2026-03-11 23:43:20,Zomato,excellent,excellent,Positive,Positive
Amol Chavan,very good,5,2026-03-11 23:43:03,Zomato,very good,good,Positive,Positive
Md Shahbaj,nice 👍,5,2026-03-11 23:42:57,Zomato,nice,nice,Positive,Positive
Akshay Juneja,bekul khtm sale na refund dete bekar khna bhjte h upr se jala huva apni glti bhi nhi mnte double triple chargers lete h,1,2026-03-11 23:42:50,Zomato,bekul khtm sale na refund dete bekar khna bhjte h upr se jala huva apni glti bhi nhi mnte double triple chargers lete h,bekul khtm sale refund dete bekar khna bhjte upr jala huva apni glti bhi nhi mnte double triple charger lete,Neutral,Negative
atif khan,good,3,2026-03-11 23:40:37,Zomato,good,good,Positive,Neutral
Shagufta Malik,high graded quality try it and get it,5,2026-03-11 23:40:30,Zomato,high graded quality try it and get it,high graded quality try get,Neutral,Positive
Pankaj 4024D,I hate this,1,2026-03-11 23:40:15,Zomato,i hate this,hate,Negative,Negative
Himanshu Singh,good,5,2026-03-11 23:38:56,Zomato,good,good,Positive,Positive
D A R K N I G H T,"delivery partner accept the order but not delivered in 1,2 hour .",1,2026-03-11 23:37:01,Zomato,delivery partner accept the order but not delivered in  hour,delivery partner accept order delivered hour,Positive,Negative
Sameer Yadav,amazing,5,2026-03-11 23:36:47,Zomato,amazing,amazing,Positive,Positive
Sunny Randhawa,very good and easy to order,5,2026-03-11 23:35:55,Zomato,very good and easy to order,good easy order,Positive,Positive
Abijith Vkr,superb,5,2026-03-11 23:35:37,Zomato,superb,superb,Positive,Positive
jayanta ghorai,good,5,2026-03-11 23:34:58,Zomato,good,good,Positive,Positive
Suraj Paswan,very nice,5,2026-03-11 23:34:35,Zomato,very nice,nice,Positive,Positive
Hozifa Khan,like the app,5,2026-03-11 23:34:17,Zomato,like the app,like app,Positive,Positive
Gopee Koge,best food,5,2026-03-11 23:34:07,Zomato,best food,best food,Positive,Positive
Jay Parteki,good,5,2026-03-11 23:34:05,Zomato,good,good,Positive,Positive
Kiran Verma,ok ok,5,2026-03-11 23:32:56,Zomato,ok ok,ok ok,Neutral,Positive
R k Rawat,nice,5,2026-03-11 23:32:27,Zomato,nice,nice,Positive,Positive
amjadali reshi,good service,3,2026-03-11 23:32:20,Zomato,good service,good service,Positive,Neutral
Vanshika Chhabra,Very useful,5,2026-03-11 23:32:07,Zomato,very useful,useful,Positive,Positive
sandeep kuril,Great,5,2026-03-11 23:31:50,Zomato,great,great,Positive,Positive
kiran tallabatula,nice experience,4,2026-03-11 23:31:02,Zomato,nice experience,nice experience,Positive,Positive
pratap singh,good,5,2026-03-11 23:30:34,Zomato,good,good,Positive,Positive
Sreya Sarkar,it's good,1,2026-03-11 23:29:26,Zomato,its good,good,Positive,Negative
Manish Kumar,ok,5,2026-03-11 23:29:15,Zomato,ok,ok,Neutral,Positive
Ravi SHNAKAR kumar,good,5,2026-03-11 23:28:07,Zomato,good,good,Positive,Positive
Paras Machhi,good,5,2026-03-11 23:27:48,Zomato,good,good,Positive,Positive
Shahjad Ansari,good wark,4,2026-03-11 23:26:48,Zomato,good wark,good wark,Positive,Positive
Mukesh Gupta,poor,1,2026-03-11 23:26:20,Zomato,poor,poor,Negative,Negative
Suryani Yasua,very good app,5,2026-03-11 23:25:18,Zomato,very good app,good app,Positive,Positive
Sumit Kumar,very good 👍,5,2026-03-11 23:25:10,Zomato,very good,good,Positive,Positive
Jyoti Prajapati,"after every 5 or 6 order I have faced many issues like restaurant closed, delivery partner not issued, chat bot nothing work well.",1,2026-03-11 23:22:55,Zomato,after every  or  order i have faced many issues like restaurant closed delivery partner not issued chat bot nothing work well,every order faced many issue like restaurant closed delivery partner issued chat bot nothing work well,Positive,Negative
Ashwini Shirsath,nice,5,2026-03-11 23:22:40,Zomato,nice,nice,Positive,Positive
निखिल शर्मा,shi h but Or improve kar skte hoo,5,2026-03-11 23:21:58,Zomato,shi h but or improve kar skte hoo,shi improve kar skte hoo,Positive,Positive
